category,amt,gender,street,city,state,zip,city_pop,job,age,day_of_week,transaction_min,transaction_hour,transaction_date,transaction_month,transaction_distance,is_fraud
Food Dining,16.31,Male,7188 Melissa Crest Apt. 151,New Holstein,Wisconsin,53061,5196,Child psychotherapist,42,Friday,36,21,17,4,118.05192619482281,0
Misc Net,71.86,Male,4130 Tiffany Glen Apt. 562,San Antonio,Texas,78248,1595797,Exhibition designer,44,Wednesday,8,11,18,9,83.92440604799076,0
Home,43.09,Female,2481 Mills Lock,Plainfield,New Jersey,7060,71485,Leisure centre manager,45,Saturday,1,20,11,5,92.37833878521234,0
Shopping Net,58.22,Female,4456 Dunn Roads,Meredith,Colorado,81642,61,Public relations account executive,81,Tuesday,11,1,2,6,90.06500792643288,0
Grocery Pos,118.43,Female,222 Freeman Islands,Whigham,Georgia,39897,3430,"Editor, commissioning",69,Monday,21,10,21,10,91.65113951067306,0
Misc Net,7.22,Female,05050 Rogers Well Apt. 439,Rock Springs,Wyoming,82901,27971,Music therapist,35,Sunday,17,9,6,10,119.02730565903208,0
Health Fitness,41.77,Male,6385 Donald Square Suite 429,Springfield,Virginia,22151,104396,Production engineer,70,Wednesday,40,15,26,2,70.74309807322537,0
Personal Care,79.01,Male,494 Burke Ports,Cokeburg,Pennsylvania,15324,632,Dealer,30,Wednesday,1,21,22,5,26.130500288307527,0
Entertainment,17.99,Female,250 Benjamin Hill Apt. 026,Mobile,Alabama,36617,270712,"Surveyor, land/geomatics",47,Saturday,56,16,23,3,55.17876975575724,0
Entertainment,32.82,Female,28812 Charles Mill Apt. 628,Plantersville,Alabama,36758,1412,Drilling engineer,49,Saturday,20,20,27,4,48.5805093967122,0
Travel,4.88,Female,17666 David Valleys,Sun City,California,92585,54287,"Designer, exhibition/display",48,Tuesday,15,21,7,4,92.44268921331665,0
Health Fitness,117.05,Female,72269 Elizabeth Field Apt. 132,Phoenix,Arizona,85020,1312922,Contractor,38,Wednesday,28,15,6,3,106.98198587512076,0
Grocery Net,12.32,Male,35822 Clayton Street Apt. 679,Great Mills,Maryland,20634,5927,Art therapist,47,Thursday,32,10,11,6,127.6249070053364,0
Shopping Net,9.29,Male,354 Gutierrez Gateway,Comfrey,Minnesota,56019,914,Health and safety adviser,75,Sunday,48,10,3,2,109.24712093230754,0
Personal Care,1.05,Female,8851 Reese Neck,Basye,Virginia,22810,863,"Engineer, mining",48,Tuesday,19,18,10,3,63.67775701162375,0
Grocery Net,47.8,Male,28223 Ward Summit Apt. 664,Arvada,Colorado,80005,122111,Hotel manager,33,Sunday,19,2,24,5,116.20620953879583,0
Shopping Pos,117.18,Female,594 Berry Lights Apt. 392,Wilmington,North Carolina,28405,186140,English as a second language teacher,36,Monday,30,16,28,1,69.41101645171756,0
Home,43.25,Female,010 Salazar Walk,Cromona,Kentucky,41810,502,Chief Financial Officer,59,Saturday,45,20,11,5,100.45965853202127,0
Travel,9.66,Male,25955 Amy Via,Ozawkie,Kansas,66070,2661,Theatre director,71,Friday,18,19,20,12,105.27797929408537,0
Food Dining,120.86,Female,47152 Clayton Burg,Manchester,Maryland,21102,11751,Clinical research associate,55,Friday,38,20,14,6,51.157882015786875,0
Food Dining,37.18,Male,6385 Donald Square Suite 429,Springfield,Virginia,22151,104396,Production engineer,69,Sunday,3,22,31,3,113.24319725040462,0
